Transaction ID,Date,Type,Amount,Account,Description,Vendor
c7192026-99e2-4f64-a6dc-a99d9371358c,2023-01-07,Payment,3915.73,ACCT-2601,Payment - Miscellaneous,123 Cleaning Services
cf89db8e-a052-4d70-9b83-d4c2534e071f,2023-01-07,Withdrawal,5938.68,ACCT-7494,Withdrawal - Services,XYZ Tech Solutions
da6ce768-3c73-4d87-94b9-efbba657464c,2023-01-07,Transfer,4900.0,ACCT-2222,Transfer - Office Supplies,ABC Office Supplies
eb51ad93-52ac-4cff-9d5e-126d47607b4c,2023-01-07,Deposit,7438.68,ACCT-7325,Deposit - Equipment,XYZ Tech Solutions
199d3f08-da6f-4dc6-a156-039624982766,2023-01-08,Transfer,6085.8,ACCT-4052,Transfer - Office Supplies,XYZ Tech Solutions
e585cad2-d50d-494f-b9dd-4675146938e5,2023-01-08,Purchase,2810.23,ACCT-1868,Purchase - Office Supplies,XYZ Tech Solutions
4b072c67-42cc-4ebb-ba4c-60a02ba3dc54,2023-01-09,Purchase,1487.54,ACCT-2855,Purchase - Services,ABC Office Supplies
7bdaa8bd-7dad-43d2-9319-fd4b23b40be0,2023-01-09,Payment,1536.96,ACCT-6079,Payment - Services,XYZ Tech Solutions
c07a96b1-8e03-4d8d-8bd7-8e224ed8faf0,2023-01-10,Withdrawal,5589.96,ACCT-7527,Withdrawal - Services,XYZ Tech Solutions
c2eccad3-71bd-4565-abef-7fdc19195c01,2023-01-10,Deposit,1084.6,ACCT-2940,Deposit - Equipment,123 Cleaning Services
ff63c294-8dad-418d-9098-01a895de6464,2023-01-10,Withdrawal,5303.9349,ACCT-1268,Withdrawal - Miscellaneous,ABC Office Supplies
adfa5d20-19b8-492f-a79b-57b202cc25bf,2023-01-10,Payment,1310.39,ACCT-3842,Payment - Equipment,XYZ Tech Solutions
a342fa51-4c43-4d8a-9878-170e1e350b27,2023-01-10,Purchase,1742.71,ACCT-1576,Purchase - Office Supplies,ABC Office Supplies
594d1519-3884-4f3f-88e9-4df4c9331e69,2023-01-11,Deposit,1900.0,ACCT-8233,Deposit - Miscellaneous,XYZ Tech Solutions
daa714ba-e4ec-404f-97f8-1e7be9af6409,2023-01-11,Payment,1040.33,ACCT-8175,Payment - Services,XYZ Tech Solutions
a163d922-30a2-43a9-a93d-00f4a26e8896,2023-01-11,Deposit,5177.7,ACCT-5691,Deposit - Equipment,123 Cleaning Services
70a72e74-83c5-4a61-b958-2ab6697978f1,2023-01-11,Payment,7300.0,WRONG-621,Payment - Miscellaneous,XYZ Tech Solutions
eb203910-b608-496f-86ef-966f970ce9b7,2023-01-12,Transfer,1428.13,ACCT-1809,Transfer - Equipment,ABC Office Supplies
f396761e-f5ab-4be3-a3c3-303af0197d06,2023-01-12,Deposit,4198.77,ACCT-1878,Deposit - Miscellaneous,123 Cleaning Services
a0ab6b81-5a53-4433-b0c8-33d6ef674ef1,2023-01-12,Deposit,1480.99,ACCT-1450,Deposit - Equipment,123 Cleaning Services
1d9b6923-466a-40b1-b922-d80c6e27dc80,2023-01-13,Payment,2867.56,ACCT-4555,Payment - Equipment,123 Cleaning Services
41c1e121-c5e3-4f9e-90f1-8803be8ebb83,2023-01-13,Transfer,8698.58,ACCT-2188,Transfer - Services,ABC Office Supplies
d5ae0cbb-488c-42e2-8391-68e1404b5247,2023-01-13,Withdrawal,9410.33,ACCT-4867,Withdrawal - Miscellaneous,123 Cleaning Services
dc4a31d7-c0cf-47b2-af2e-e19ad2006f65,2023-01-14,Purchase,7214.93,ACCT-5806,Purchase - Equipment,123 Cleaning Services
e8a3c4ee-330f-4e21-97e5-c478d7e0b0e6,2023-01-14,Deposit,1808.0765999999999,ACCT-8044,Deposit - Equipment,123 Cleaning Services
3b21f176-bee9-4d9c-9bb3-eaebc7dba736,2023-01-15,Payment,484.46,ACCT-7790,Monthly Utility Bill,City Power & Utilities
9788c718-6b8b-4ea3-bc6e-29f80fc31bee,2023-01-16,Deposit,2392.77,ACCT-4693,Deposit - Services,ABC Office Supplies
bbf5a30c-80ff-47a5-89d0-766208b91d70,2023-01-16,Purchase,5343.64,ACCT-8393,Purchase - Equipment,ABC Office Supplies
bce3bc35-c044-4473-a62b-d417e2dfb46f,2023-01-17,Deposit,1781.35,ACCT-2707,Deposit - Services,123 Cleaning Services
ec27258b-f11c-431a-a582-3723d94b63d4,2023-01-17,Purchase,3827.61,ACCT-7894,Purchase - Services,ABC Office Supplies
b9037637-a6b5-4be5-a6c4-d724d3a975df,2023-01-18,Payment,1106.27,ACCT-1398,Team Building Retreat,Gourmet Restaurant
ff65217c-6fa0-486c-880e-c63549acd763,2023-01-18,Deposit,6644.92,ACCT-8919,Deposit - Office Supplies,123 Cleaning Services
4b98ca24-d0b9-4502-8a85-5f507d76e61a,2023-01-19,Deposit,2732.26,ACCT-1711,Deposit - Services,ABC Office Supplies
801a70b2-1455-4562-9fb2-730ec1cc3650,2023-01-19,Transfer,2326.08,ACCT-2166,Transfer - Miscellaneous,ABC Office Supplies
d546047c-0cab-487c-be9c-bc886fd83cab,2023-01-19,Payment,1449.22,ACCT-1859,Payment - Services,ABC Office Supplies
4ae3fc8a-ffa6-4b22-a16d-f881bef27bc8,2023-01-19,Payment,6398.17,ACCT-2990,Payment - Miscellaneous,123 Cleaning Services
e0dcfd63-225e-4efd-b3de-dd3152fcf389,2023-01-19,Withdrawal,1556.12,ACCT-2912,Withdrawal - Miscellaneous,XYZ Tech Solutions
e019907a-3b6b-4db6-b0a8-9df4d8f1163f,2023-01-20,Payment,5374.43,ACCT-3102,Payment - Office Supplies,123 Cleaning Services
89bd00b9-bc96-4589-8e8b-f4dd8b65d821,2023-01-20,Transfer,3652.23,ACCT-3339,Transfer - Office Supplies,XYZ Tech Solutions
47fb4c3c-bf52-4723-93c3-c443c5aea539,2023-01-20,Purchase,4700.96,ACCT-3220,Purchase - Office Supplies,XYZ Tech Solutions
4629df67-2467-48cf-bea6-7f7fc1ae2a18,2023-01-20,Payment,1780.39,ACCT-2981,Payment - Office Supplies,123 Cleaning Services
94b06fe5-7cda-4218-ab01-f91b83fa0c7b,2023-01-20,Payment,1166.4,ACCT-6497,Payment - Equipment,ABC Office Supplies
eb228d39-39c6-4287-920c-a4535a4a968c,2023-01-21,Deposit,5970.39,ACCT-6405,Deposit - Miscellaneous,ABC Office Supplies
dda43dd9-eb07-486d-a992-d161bb59ccd2,2023-01-21,Transfer,5208.36,ACCT-1503,Transfer - Services,123 Cleaning Services
b510755d-6795-4caf-99e2-1cd3dc57e257,2023-01-21,Deposit,7627.85,ACCT-4492,Deposit - Miscellaneous,ABC Office Supplies
21b53659-7ae6-42ce-a802-09e965078a87,2023-01-21,Transfer,3765.76,ACCT-3471,Transfer - Office Supplies,ABC Office Supplies
5b6dec54-bd74-423e-a5fc-bd5b3bc3ea7a,2023-01-22,Purchase,6280.07,ACCT-8676,Purchase - Services,123 Cleaning Services
103470d3-4288-40e1-91ed-c647c9c9c176,2023-01-23,Purchase,6986.39,ACCT-7524,Purchase - Equipment,XYZ Tech Solutions
e633c1e1-9031-44bf-9e7b-082ed1ed7af2,2023-01-24,Withdrawal,7315.7,ACCT-6132,Withdrawal - Office Supplies,123 Cleaning Services
0700644c-2b63-4c4a-965d-5d8838bcb61b,2023-01-24,Deposit,5260.21,ACCT-8975,Deposit - Equipment,ABC Office Supplies
54ace0ac-986f-407e-ac1c-ca91faec521e,2023-01-24,Deposit,3609.69,ACCT-9082,Deposit - Miscellaneous,123 Cleaning Services
a7a76192-faf0-49ce-8730-5d9da46b2e69,2023-01-24,Deposit,6076.2,ACCT-4203,Summer Equipment Purchase,123 Cleaning Services
880672cf-1400-4486-95f9-62905be9b3a2,2023-01-25,Deposit,1660.23,ACCT-6399,Deposit - Office Supplies,123 Cleaning Services
6ec07614-d37e-4dd5-aed7-5dbf55517711,2023-01-25,Transfer,6612.79,ACCT-8947,Transfer - Miscellaneous,XYZ Tech Solutions
e5803e76-adb2-4802-a6a7-b6b6235d78a4,2023-01-25,Payment,4390.4,ACCT-4237,Payment - Equipment,123 Cleaning Services
afd50c0c-900c-4020-b046-bd1d1e3f8e42,2023-01-26,Payment,9459.55,ACCT-1716,Payment - Services,123 Cleaning Services
f33c0875-09d7-4914-b1fe-f1e577323426,2023-01-27,Purchase,1672.2585000000001,ACCT-2443,Purchase - Services,XYZ Tech Solutions
0b8f51cd-d80a-4e2a-9354-2571e918cb2b,2023-01-28,Payment,3805.5204,ACCT-8926,Payment - Office Supplies,XYZ Tech Solutions
f7d41505-b1b9-41be-b08e-862bf2e79070,2023-01-28,Transfer,9381.89,ACCT-2127,Transfer - Office Supplies,ABC Office Supplies
78da536e-9d53-4f67-8957-11de7fa3c853,2023-01-29,Transfer,7118.39,ACCT-6996,Transfer - Miscellaneous,XYZ Tech Solutions
03338e67-5d8d-48a4-92c8-db18c2dbb197,2023-01-30,Transfer,2531.1627,ACCT-1481,Transfer - Office Supplies,ABC Office Supplies
b62f6a18-467b-4253-93f9-807a1a81b575,2023-01-30,Payment,2037.96,ACCT-7718,Payment - Services,ABC Office Supplies
744d3020-190e-442d-a750-17ff39cf870a,2023-01-30,Payment,95623.08,ACCT-5166,Payment - Equipment,ABC Office Supplies
016317ee-92f7-4999-89ce-33ad1a89ee6e,2023-01-31,Withdrawal,1792.8,ACCT-8249,Withdrawal - Office Supplies,ABC Office Supplies
afa0e175-2e14-4dc1-9039-7718c8dfa758,2023-01-31,Transfer,2705.45,ACCT-6545,Transfer - Miscellaneous,ABC Office Supplies
3243572c-03cf-4da9-8a99-196b64e08957,2023-01-31,Withdrawal,3346.63,ACCT-8410,Withdrawal - Equipment,123 Cleaning Services
ff566e59-26f0-412b-be23-c597834a60e0,2023-02-01,Payment,2016.12,ACCT-6004,Office Rent,Prime Office Rentals
065caf4d-56d3-44b1-8c3b-f9c4caf13ca3,2023-02-01,Purchase,4797.41,ACCT-8399,Purchase - Equipment,ABC Office Supplies
b7f67698-e354-4060-b695-641d60be12ae,2023-02-02,Purchase,2546.46,ACCT-1754,Purchase - Office Supplies,123 Cleaning Services
15f3e636-7c69-4295-82ec-57f5dc4e68b4,2023-02-02,Purchase,8295.44,ACCT-4088,Purchase - Office Supplies,123 Cleaning Services
80357f6c-823f-475e-bef7-855e0b13f923,2023-02-02,Transfer,9056.57,ACCT-6673,Transfer - Equipment,123 Cleaning Services
cbe02143-8809-407e-8d1a-260a5ad238bb,2023-02-02,Payment,6271.79,ACCT-3361,Payment - Office Supplies,123 Cleaning Services
b0f148f7-bac6-4f1f-bbfd-74fc0c1f0612,2023-02-02,Payment,9883.57,ACCT-9528,Payment - Services,XYZ Tech Solutions
3e33793a-4729-4835-8d68-d9033432a4cc,2023-02-03,Withdrawal,8102.42,ACCT-9480,Withdrawal - Miscellaneous,ABC Office Supplies
63f6a960-668b-4a02-926d-04c730f5056c,2023-02-03,Transfer,1930.39,ACCT-3059,Transfer - Office Supplies,123 Cleaning Services
8c2edc03-ecbc-448a-92e4-64daf14a67e8,2023-02-04,Purchase,2035.04,ACCT-6547,Purchase - Miscellaneous,ABC Office Supplies
475b56d9-decc-4fac-9275-4884fa284edf,2023-02-04,Transfer,1020.17,ACCT-8655,Transfer - Equipment,XYZ Tech Solutions
59aeaba7-a46e-4b1a-a265-8486b0a75e62,2023-02-04,Purchase,1607.38,ACCT-1547,Purchase - Office Supplies,123 Cleaning Services
744a7f38-1850-48ce-aa1f-935e669a1c99,2023-02-04,Purchase,3794.27,ACCT-9394,Purchase - Office Supplies,ABC Office Supplies
25b2301b-8289-4ca5-b865-90bd565fd01b,2023-02-05,Deposit,2814.55,ACCT-7713,Deposit - Equipment,123 Cleaning Services
022d3fa3-e440-4856-85cd-5e69a1921654,2023-02-06,Deposit,1889.2,ACCT-3701,Deposit - Office Supplies,ABC Office Supplies
f15513d5-1ce1-42d4-9c17-7f84018a7fec,2023-02-07,Withdrawal,1194.98,ACCT-7396,Withdrawal - Services,ABC Office Supplies
d3f6585e-9010-48fa-b05d-5498393aae1c,2023-02-07,Deposit,1544.19,ACCT-3406,Deposit - Miscellaneous,XYZ Tech Solutions
7965db5c-73cc-465b-9800-b4858b7ff1cc,2023-02-08,Withdrawal,2127.12,ACCT-8104,Withdrawal - Miscellaneous,123 Cleaning Services
9777e7a7-d4f2-4627-a5d6-5674eff294e7,2023-02-08,Deposit,1613.84,ACCT-3433,Deposit - Office Supplies,123 Cleaning Services
c99d0579-683e-44de-81b7-b2ea8a688c0b,2023-02-08,Transfer,7803.89,ACCT-4204,Transfer - Equipment,123 Cleaning Services
687d03b5-a065-48da-b09d-e8b1dd52d8ce,2023-02-10,Purchase,4016.54,ACCT-2753,Purchase - Miscellaneous,XYZ Tech Solutions
587bdef1-75d2-4179-8685-0b8ac2da5f1e,2023-02-10,Purchase,1006.4,ACCT-1710,Purchase - Office Supplies,123 Cleaning Services
79c0aa7a-9fb5-477f-b679-6fc9a5998dd5,2023-02-12,Purchase,8902.94,ACCT-3085,Purchase - Miscellaneous,XYZ Tech Solutions
3e716bf1-d90a-4dbf-92bd-122ae1cb8dcc,2023-02-13,Transfer,3195.71,ACCT-7211,Transfer - Office Supplies,XYZ Tech Solutions
d9341427-1b30-4000-9cc4-a1255b35a3a0,2023-02-13,Payment,2348.17,ACCT-9069,Payment - Services,XYZ Tech Solutions
fa6ee80a-cbf7-4c80-8e8f-278ede1207c9,2023-02-13,Payment,2230.92,ACCT-6916,Payment - Office Supplies,XYZ Tech Solutions
901349cf-20b4-4d77-b03b-f55ad64db30f,2023-02-14,Purchase,1387.5,ACCT-6577,Purchase - Services,ABC Office Supplies
ac60bb3e-3017-4f0b-a348-29ee46384563,2023-02-14,Transfer,3702.3,ACCT-1212,Transfer - Equipment,123 Cleaning Services
62dcb6e6-5dc2-4fdb-8272-5bee3ceceb7d,2023-02-15,Payment,513.9,ACCT-9163,Monthly Utility Bill,City Power & Utilities
9c18ae91-56c2-4342-bf2f-3ce681992ad0,2023-02-15,Payment,4566.58,ACCT-2503,Payment - Equipment,123 Cleaning Services
554544b3-bf78-40d0-9413-09fb478f2cb7,2023-02-15,Deposit,3278.8,ACCT-4718,Deposit - Equipment,123 Cleaning Services
bf1f1a5c-e9f3-44ed-aba7-e1b82449f9d3,2023-02-16,Transfer,1045.51,ACCT-6802,Transfer - Services,123 Cleaning Services
36ec611b-6986-4d18-9cac-ae1395ee8c8a,2023-02-16,Payment,9993.61,ACCT-3994,Payment - Office Supplies,XYZ Tech Solutions
18d30bdc-e205-40fe-b1f2-21f09c710577,2023-02-16,Purchase,2806.55,ACCT-1975,Purchase - Services,ABC Office Supplies
f76f3835-4f1d-47cc-b0fc-21df2a84e9bc,2023-02-16,Purchase,9833.66,ACCT-6578,Purchase - Services,ABC Office Supplies
b40d9e27-5071-479d-b2be-06f47931afe2,2023-02-17,Deposit,8113.317300000001,ACCT-3809,Deposit - Miscellaneous,XYZ Tech Solutions
99ae46c3-26ff-4489-97fc-5e3219bcfbe4,2023-02-17,Withdrawal,9647.76,ACCT-6667,Withdrawal - Miscellaneous,ABC Office Supplies
310f991e-aab7-4f7b-bcb8-8a0a91c7285b,2023-02-17,Payment,7273.86,ACCT-8177,Payment - Miscellaneous,123 Cleaning Services
cf888b3f-201e-486d-8e11-bae8f55bc31e,2023-02-18,Purchase,1075.93,ACCT-7485,Purchase - Services,XYZ Tech Solutions
0dff6327-c1c3-4440-94ab-bf209989a8da,2023-02-18,Payment,4453.32,ACCT-1084,Payment - Miscellaneous,123 Cleaning Services
33a1dac4-a71b-4e5b-a55c-ec8db2fb3d77,2023-02-19,Purchase,7529.03,ACCT-5437,Purchase - Equipment,ABC Office Supplies
7723071e-e68e-49d4-a77b-0166d20bffa7,2023-02-19,Transfer,2188.28,ACCT-4948,Transfer - Equipment,ABC Office Supplies
5b15fedb-d579-40bd-a2d0-a2d28787d780,2023-02-20,Payment,1634.05,ACCT-6923,Payment - Miscellaneous,123 Cleaning Services
d374d135-ada7-40db-a17d-5e7ed9662d00,2023-02-20,Transfer,1643.52,ACCT-1497,Transfer - Miscellaneous,123 Cleaning Services
d03c0a33-b359-408b-9664-8d0ede3c0862,2023-02-20,Deposit,2144.83,ACCT-5896,Deposit - Equipment,123 Cleaning Services
469d54af-e39e-473e-a0f0-9794487b2323,2023-02-20,Purchase,1267.78,ACCT-9079,Purchase - Miscellaneous,123 Cleaning Services
cc0bc4f2-1bd5-42a4-a97e-a2ddaafa62dc,2023-02-21,Payment,7919.9406,ACCT-6059,Payment - Services,XYZ Tech Solutions
d238eb8c-4412-4b67-8201-16ae1d2b9dd2,2023-02-21,Purchase,1447.1,ACCT-1150,Purchase - Equipment,123 Cleaning Services
86bc4274-de26-49fd-899e-ec4f0758a897,2023-02-22,Payment,8019.81,ACCT-2834,Payment - Services,XYZ Tech Solutions
5cdfcb6f-1279-40a9-a758-88ccea8a13a6,2023-02-22,Withdrawal,2913.56,ACCT-1349,Withdrawal - Services,123 Cleaning Services
,2023-02-23,Purchase,8063.21,ACCT-9886,Purchase - Office Supplies,ABC Office Supplies
70688b31-b788-4bd2-8954-bbd41528116b,2023-02-23,Transfer,1878.03,ACCT-2209,Transfer - Miscellaneous,123 Cleaning Services
3af341ba-1e9c-4b37-a91a-327c25f012f6,2023-02-23,Transfer,6281.68,ACCT-5835,Transfer - Office Supplies,XYZ Tech Solutions
1f314856-b8b3-433a-b9f5-82cc43d25920,2023-02-23,Purchase,6371.2,ACCT-7560,Purchase - Services,123 Cleaning Services
876d0729-d06a-45d8-9153-a699d9462080,2023-02-24,Purchase,3434.73,ACCT-3137,Purchase - Office Supplies,XYZ Tech Solutions
7b10c291-9023-4e61-aca8-b3e0c7506eef,2023-02-24,Purchase,4764.29,ACCT-7755,Purchase - Miscellaneous,XYZ Tech Solutions
2f962aff-ca79-4051-8353-313c44e250fe,2023-02-24,Withdrawal,8970.41,ACCT-6604,Withdrawal - Services,ABC Office Supplies
3508884c-0da7-426c-a9c5-3995c726a7da,2023-02-24,Deposit,2141.45,ACCT-7699,Deposit - Miscellaneous,ABC Office Supplies
93f0d6d0-3cd7-493d-ab2a-c52afb78b2c2,2023-02-25,Payment,1679.97,ACCT-4760,Payment - Office Supplies,XYZ Tech Solutions
8c0a476f-b35e-4333-a3a5-1fd39862a540,2023-02-25,Withdrawal,1804.158279,ACCT-5712,Withdrawal - Services,XYZ Tech Solutions
87a144e0-3768-4a43-a131-3b249e79be5f,2023-02-25,Transfer,8699.19,ACCT-6919,Transfer - Equipment,ABC Office Supplies
f1287027-6ca6-465d-93ef-74be8cc02206,2023-02-25,Payment,1922.24,ACCT-8059,Payment - Services,123 Cleaning Services
41e3d8f7-5288-4999-9949-8df8203b681f,2023-02-25,Payment,3298.89,ACCT-7818,Payment - Services,ABC Office Supplies
cd1d4bd3-97da-439b-999b-9eb96b61653a,2023-02-25,Withdrawal,4405.88,ACCT-4800,Withdrawal - Services,XYZ Tech Solutions
3348486d-386e-4a29-b095-0c55934f5185,2023-02-25,Purchase,7382.22,ACCT-3613,Purchase - Services,XYZ Tech Solutions
1e692156-3ead-4a5d-b346-593628d922bc,2023-02-25,Transfer,3600.51,ACCT-6791,Transfer - Services,ABC Office Supplies
0b7aca74-242d-4135-b063-9369bb6d2746,2023-02-26,Deposit,2375.51,ACCT-3030,Deposit - Services,ABC Office Supplies
0e50b080-8a43-4285-bbbd-368517a1bf47,2023-02-26,Payment,2622.12,ACCT-3900,Payment - Equipment,ABC Office Supplies
c7170096-2fd5-4063-90da-d26dddb2df77,2023-02-26,Transfer,5943.83,ACCT-6039,Transfer - Equipment,XYZ Tech Solutions
f8a0d478-9992-4cc0-88c0-a4ad158105cc,2023-02-26,Payment,1632.9,ACCT-6130,Payment - Services,123 Cleaning Services
b56a7e93-2cee-4261-b106-7be875801293,2023-02-26,Purchase,1718.9,ACCT-9999,Purchase - Office Supplies,123 Cleaning Services
450f43e0-da50-48c8-819a-d1c8aa26d622,2023-02-27,Transfer,1159.2405,ACCT-6955,Transfer - Equipment,ABC Office Supplies
87502988-05de-47ff-bee1-a8eeb61e4420,2023-02-27,Payment,2895.37,ACCT-2667,Payment - Miscellaneous,ABC Office Supplies
f685756b-972e-4122-970d-6441edaf21af,2023-02-27,Withdrawal,1644.35,ACCT-8370,Withdrawal - Equipment,123 Cleaning Services
81607dec-bcbb-478f-a8c0-0917615a13e1,2023-02-27,Purchase,2430.25,ACCT-3316,Purchase - Equipment,ABC Office Supplies
73bd52ea-3171-4337-9af2-87bb0a708e05,2023-02-27,Transfer,4989.43,ACCT-8035,Transfer - Office Supplies,XYZ Tech Solutions
f7e97611-1150-4b09-aae0-d8331c57604d,2023-02-28,Transfer,2251.62,ACCT-9060,Transfer - Equipment,XYZ Tech Solutions
981f4888-a7f8-4314-9a86-e17a052a2764,2023-03-01,Payment,1952.9455,ACCT-3725,Office Rent,Prime Office Rentals
7957f3b9-682a-40d0-b484-0c6ecae8fce0,2023-03-01,Payment,2792.45,ACCT-9126,Payment - Miscellaneous,123 Cleaning Services
45f861a3-135e-4fc0-b726-f54b96ba8341,2023-03-01,Transfer,3809.99,ACCT-7072,Transfer - Office Supplies,123 Cleaning Services
0fa47b7c-2db3-4921-8207-5439adb300ff,2023-03-01,Transfer,1677.18,ACCT-1300,Transfer - Services,ABC Office Supplies
0f607dfb-a114-4ca4-bff4-bce1c53efbe2,2023-03-01,Purchase,2658.49,ACCT-7724,Purchase - Services,XYZ Tech Solutions
484925aa-4180-4919-95cb-33fa7ee219d1,2023-03-02,Deposit,4122.62,WRONG-355,Deposit - Equipment,ABC Office Supplies
85465cad-20a3-4b42-b14b-ad3a6e939a5f,2023-03-02,Transfer,3922.51,ACCT-3502,Transfer - Miscellaneous,XYZ Tech Solutions
f3d472ca-19c3-429e-b14f-52d9b2adec6f,2023-03-03,Transfer,2789.84,ACCT-5343,Transfer - Equipment,XYZ Tech Solutions
1b53c059-f80a-4a58-baad-b38534705273,2023-03-03,Payment,4950.25,ACCT-1410,Payment - Miscellaneous,ABC Office Supplies
1457c67f-3dc2-459d-8f3f-a7913be5b914,2023-03-03,Withdrawal,1236.34,ACCT-9493,Withdrawal - Office Supplies,ABC Office Supplies
70aef0ba-87f8-42e7-9801-d217a48aa300,2023-03-03,Purchase,9302.079600000001,ACCT-1027,Purchase - Equipment,ABC Office Supplies
ffc5d4a1-0588-4f2f-90ed-cc8cb6386f73,2023-03-03,Withdrawal,1914.0,ACCT-8816,Withdrawal - Services,123 Cleaning Services
3afe1e97-abf3-4276-8a0e-e26c99fe7e4d,2023-03-04,Payment,3511.06,ACCT-8110,Payment - Services,123 Cleaning Services
86452493-7852-45b8-b844-d92d0579c96f,2023-03-04,Deposit,2693.14,ACCT-3916,Deposit - Equipment,XYZ Tech Solutions
64f9a470-5ca2-4791-919c-221cc221bd19,2023-03-05,Deposit,7714.43,ACCT-5671,Deposit - Equipment,XYZ Tech Solutions
94cb9e78-5d84-46d3-979a-8995add11284,2023-03-06,Purchase,1475.18,ACCT-2850,Purchase - Equipment,ABC Office Supplies
0fb0f2bb-265d-4e4c-a391-909d30027713,2023-03-07,Payment,4718.6172,ACCT-8468,Payment - Equipment,123 Cleaning Services
ad37ebd0-1d2f-47d7-817b-7cf070fe058e,2023-03-07,Withdrawal,2355.15,ACCT-1391,Withdrawal - Services,ABC Office Supplies
2ecc578f-2283-4552-a56c-e6bc7229cfe5,2023-03-07,Transfer,9648.32,ACCT-5194,Transfer - Office Supplies,XYZ Tech Solutions
04e5ee3d-8236-466e-9215-3e5a311d3a3f,2023-03-08,Payment,2469.85,ACCT-3155,Payment - Equipment,ABC Office Supplies
0f7217bf-af94-4347-86f1-2c5e8144fa05,2023-03-08,Transfer,9304.25,ACCT-5948,Transfer - Miscellaneous,123 Cleaning Services
121f396c-cf7a-4826-90a1-e04d9318817f,2023-03-08,Withdrawal,6237.23,ACCT-3750,Withdrawal - Equipment,XYZ Tech Solutions
06701087-6da7-47b6-bc8d-8b5832a99497,2023-03-08,Deposit,3722.88,ACCT-2210,Deposit - Services,ABC Office Supplies
cd5ff0d2-a08f-4886-bbed-a52f22e1b3fd,2023-03-09,Purchase,3864.96,ACCT-6966,Purchase - Equipment,ABC Office Supplies
317b961e-1bdc-42bf-95b2-27fb9c727fa4,2023-03-09,Purchase,3645.53,ACCT-2876,Purchase - Services,XYZ Tech Solutions
e3dfecb6-62d6-49c7-84a9-c3c36205b889,2023-03-09,Transfer,2829.34,ACCT-4672,Transfer - Equipment,123 Cleaning Services
7a0d0b68-49be-4f5d-8e38-2597a980367c,2023-03-09,Payment,1034.21,ACCT-1291,Payment - Miscellaneous,XYZ Tech Solutions
91266226-a9c2-4ab0-b9c2-f2d0b1f4a379,2023-03-09,Payment,7004.95,ACCT-1999,Payment - Equipment,XYZ Tech Solutions
2410b3a9-6bc9-4f2f-9b21-73f1975a82d3,2023-03-09,Deposit,5798.57,ACCT-3047,Deposit - Miscellaneous,ABC Office Supplies
7ab7aed1-8af7-463b-bc2b-bc7ca64c83cd,2023-03-09,Payment,2252.6162999999997,ACCT-3311,Payment - Equipment,XYZ Tech Solutions
ce9e9151-05d5-4c41-aef3-ae8d4e407399,2023-03-10,Deposit,4277.91,ACCT-9026,Deposit - Equipment,ABC Office Supplies
014bd9c3-3b1c-49be-a195-5cc2cfea4b35,2023-03-10,Payment,7414.6,ACCT-1282,Payment - Office Supplies,ABC Office Supplies
b8036945-0b24-434f-a14c-d894d9aabd13,2023-03-12,Transfer,7734.37,ACCT-1023,Transfer - Miscellaneous,ABC Office Supplies
2c49d736-7c9c-422b-8952-ae54ad7275ef,2023-03-12,Withdrawal,6018.62,ACCT-9253,Withdrawal - Services,ABC Office Supplies
