Transaction ID,Irregularity Type,Description
0aa17ddf-6159-4d32-acf7-e5c69154b8f9,subtle_skimming,"Subtle skimming applied to 10 transactions: Transaction 0aa17ddf-6159-4d32-acf7-e5c69154b8f9: 2959.48 to 2929.89, Transaction 86ddeb38-27a3-4424-ae8f-f6aec3a95e49: 1684.63 to 1667.78, Transaction 6c73629e-5d9f-4752-b769-c7244a5ad27d: 6238.19 to 6175.81, Transaction d8cb72a3-8fbf-45c5-9844-327603e40d0b: 1667.32 to 1650.65, Transaction 042dd003-00b5-433a-87ad-7f45ad7eb643: 3678.47 to 3641.69, Transaction 241fcd05-d415-4ad8-8d5d-40e76a2787af: 1538.35 to 1522.97, Transaction 9ef59b1e-640f-40cf-b8a7-d2898f932b79: 6970.48 to 6900.78, Transaction 767d13db-2470-4d95-8254-d59eded12efb: 1954.79 to 1935.24, Transaction 817bc410-b594-4a80-9fd4-f3dfe418653e: 2486.78 to 2461.91, Transaction f122458b-802d-4359-8247-32a58ba70747: 6532.85 to 6467.52"
bd7435d1-1d25-44ad-9c33-587f9e6ae548,frequency_change,No change (not a recurring transaction)
de83b8e1-cd0f-4d73-9e4c-36f9c03d8ce8,subtle_skimming,"Subtle skimming applied to 10 transactions: Transaction de83b8e1-cd0f-4d73-9e4c-36f9c03d8ce8: 2930.96 to 2901.65, Transaction bc4cef3b-cea7-4d0d-b5e4-467cac1e8120: 1189.94 to 1178.04, Transaction 34c060ef-15ec-40f1-b44e-0275475195ee: 1231.23 to 1218.92, Transaction dd5f7805-7b24-4f37-b973-59a36c260aa8: 5685.89 to 5629.03, Transaction 28237c0c-44f9-4b1a-bff6-d5bed820a13a: 9271.41 to 9178.70, Transaction 98f594a1-b9e9-45f8-a792-bf154b8c10fc: 6332.35 to 6269.03, Transaction 1f7fa2a3-ddfe-4562-aaa3-69e7568e939e: 1184.87 to 1173.02, Transaction 712da353-4a76-472c-a281-84f218454246: 2274.44 to 2251.70, Transaction fcabce75-0a25-46d8-a25f-929b5ceff84d: 9739.80 to 9642.40, Transaction a6285350-5038-4de0-9e89-e7c62a01c0c9: 3155.01 to 3123.46"
efab3b5c-0f8c-4a52-a956-f3529ceb1de1,double_spend,Transaction duplicated with new ID 9d21a462-8f00-454c-94c3-c8a45ddb9f99 and date changed from 2023-02-10 to 2023-02-10 00:48
d2a9355d-86c9-4711-a694-90bfcdf2f5ff,wrong_account,Account number changed from ACCT-2847 to WRONG-583
189825c1-02ce-4e27-a159-abd545c52e3c,double_spend,Transaction duplicated with new ID 82d7b3ba-913a-403d-af7e-bea2e5c74cfa and date changed from 2023-11-17 to 2023-11-17 00:26
83c1b81d-1a73-4cb8-9019-4635d932001c,mismatched_description,Description changed from 'Purchase - Miscellaneous' to 'Purchase - Miscellaneous'
acf3a2b9-0c47-4c10-bb5d-389ba1279ec9,personal_expense,"Changed to personal expense: Vendor from '123 Cleaning Services' to 'Designer Clothing Co.', Description from 'Withdrawal - Miscellaneous' to 'Client Entertainment', Amount from 2920.50 to 4059.51"
8de58ab5-74c0-4e27-9433-a699b2c69063,frequency_change,No change (not a recurring transaction)
8456c194-ff2f-4439-9031-8ba1a5ad5ecd,frequency_change,No change (not a recurring transaction)
68a9ee21-00d4-44d4-8b14-ac0a50d157d0,subtle_skimming,"Subtle skimming applied to 10 transactions: Transaction 68a9ee21-00d4-44d4-8b14-ac0a50d157d0: 523.10 to 517.87, Transaction d400a819-f6e6-4823-a6a2-82df5a04cf3f: 1924.39 to 1905.15, Transaction 2c2762d3-4bed-4b3c-83ab-0b25284a9526: 516.10 to 510.94, Transaction 20753a4a-d323-4a91-8d8e-fa9bf1b98d8a: 1905.58 to 1886.52, Transaction bfb71ae8-8dbf-4797-9b99-8a24f2a8ad4f: 480.45 to 475.65, Transaction 703acaeb-b094-493e-b032-179082f4e503: 2074.72 to 2053.97, Transaction 6af16b68-35b7-4c60-ab0e-ee28c83dd775: 514.56 to 509.41, Transaction e96c33e8-63dd-40d1-9b78-19e6371eddf2: 2069.89 to 2049.19, Transaction f18d18cd-bee2-434f-ae8a-9a4ba98d3ad7: 515.11 to 509.96, Transaction e260b374-a06c-4096-8aa2-78f23e3eae6b: 1977.18 to 1957.41"
1977fb34-db2b-4c01-ba66-2c93d0fffd2b,seasonal_anomaly,No change (not in winter months)
24581c1b-0528-419d-8cdc-b07a7fdb0ef2,incorrect_date,Date changed from 2023-08-16 to future date 2024-01-19
c746ba52-599f-47ba-8bab-813c410adb5d,personal_expense,"Changed to personal expense: Vendor from 'ABC Office Supplies' to 'Gourmet Restaurant', Description from 'Payment - Miscellaneous' to 'Client Entertainment', Amount from 2597.91 to 4110.37"
db42bd07-22a6-4b0c-bdc7-1d7bbf10a140,personal_expense,"Changed to personal expense: Vendor from '123 Cleaning Services' to 'Designer Clothing Co.', Description from 'Purchase - Services' to 'Office Decor', Amount from 3657.42 to 3001.39"
1eaec0dd-fe5f-4d1d-8fe9-704be1a73375,incorrect_date,Date changed from 2023-09-28 to future date 2024-01-07
45aa11d3-42ba-4b29-a28b-d2615196b014,mismatched_description,Description changed from 'Payment - Equipment' to 'Payment - Equipment'
64ce6ea5-19e4-4406-9d10-6861970cb98a,subtle_skimming,"Subtle skimming applied to 10 transactions: Transaction 64ce6ea5-19e4-4406-9d10-6861970cb98a: 1041.56 to 1031.14, Transaction 834f10a0-6822-4b01-a829-3981375f57b1: 4985.82 to 4935.96, Transaction 0ad4b44f-1b26-41f2-824b-6aab30f0c314: 5791.51 to 5733.59, Transaction c905c425-fbf0-40dc-bf20-1e3d86e5800b: 8791.12 to 8703.21, Transaction 7d67c9ed-c052-41f6-88f0-9425f6e4bbbe: 6002.68 to 5942.65, Transaction 377190a4-b1d3-4999-8ac9-d77e059d21dd: 4432.07 to 4387.75, Transaction aa2ca47e-cc90-43e1-805d-1de43eb60496: 2702.73 to 2675.70, Transaction 0157e6e5-fa94-44f7-826e-d1e5dd0dcdc4: 1751.24 to 1733.73, Transaction f99d1308-188f-4190-8a98-5572e26c573b: 3145.04 to 3113.59, Transaction 4e647877-109f-4240-aaf0-730912170abc: 1661.78 to 1645.16"
f6e06b48-ce80-4e91-aef6-7bfbebbd75c8,incorrect_date,Date changed from 2023-10-16 to future date 2024-01-17
08268cdc-229a-4265-bf93-da85c86e27a8,seasonal_anomaly,No change (not in winter months)
013b1daa-544a-4c29-82d3-92006ce38497,wrong_account,Account number changed from ACCT-2688 to WRONG-140
adf3e917-2e72-4f39-9cf0-6c08121d0af3,frequency_change,No change (not a recurring transaction)
6248225f-2fa7-4d1f-85e7-4f869b08f974,frequency_change,No change (not a recurring transaction)
a24e864d-e6b7-4281-9cf9-322196eba610,subtle_skimming,"Subtle skimming applied to 10 transactions: Transaction a24e864d-e6b7-4281-9cf9-322196eba610: 6274.93 to 6212.18, Transaction 32597786-af3a-4c16-b536-cd5934421155: 1109.12 to 1098.03, Transaction dc159d4f-e878-4fd0-a069-7b380eb03277: 3661.78 to 3625.16, Transaction 03d9b6f9-22b7-4e6a-a6e1-5b93d7fe0c44: 1638.82 to 1622.43, Transaction ea2a7ee3-f502-43e5-a847-4218f46e43ef: 1921.07 to 1901.86, Transaction 7afde8fb-8223-4da7-ac8a-1933e3195bb5: 3606.65 to 3570.58, Transaction 9f2a3032-1845-4996-b200-953b646b0a56: 3165.97 to 3134.31, Transaction c16410dc-af15-47a4-ad62-4e0bbb0cc522: 1527.67 to 1512.39, Transaction 9f2d91f0-d82c-4809-aea3-89da673b5f31: 6358.32 to 6294.74, Transaction af67e373-a579-4094-a034-2d05159d73cb: 4795.76 to 4747.80"
98bad99f-0fd3-40b2-8425-45fe02c82fb8,subtle_skimming,"Subtle skimming applied to 10 transactions: Transaction 98bad99f-0fd3-40b2-8425-45fe02c82fb8: 1341.55 to 1328.13, Transaction 75abdf74-8f49-42d1-b49d-ce2620de2c46: 2999.77 to 2969.77, Transaction fddf1e01-c1c0-46d5-b63e-402480dadf63: 1112.99 to 1101.86, Transaction 1d51249c-ca95-4ce4-b1b3-285b798b9e9f: 1613.15 to 1597.02, Transaction 20e4a501-5f57-4a58-9db6-e353fcd72d60: 2201.86 to 2179.84, Transaction 747abd0d-6c64-40a6-b494-5ce38105e264: 5312.91 to 5259.78, Transaction 681e3e55-e5ca-4f51-b1a1-15046ee2c21c: 1811.45 to 1793.34, Transaction fa02a833-4f38-45da-80b6-232bd88b4f2d: 1264.54 to 1251.89, Transaction 74c8abb2-c883-4d4b-8446-b5737b7e1a22: 2813.18 to 2785.05, Transaction 7a480cbf-8b1c-4377-ac7c-dcb4a92b11dc: 6478.53 to 6413.74"
ea2a7ee3-f502-43e5-a847-4218f46e43ef,seasonal_anomaly,No change (not in winter months)
81a1455d-d6e8-403d-b54f-68fe003ab745,benford_violation,Amount changed from 1421.42 to 6047.84 (violating Benford's Law)
87df968c-309e-4538-8cb5-c5f0ad1b4f2e,high_amount,Amount increased from 1932.49 to 69974.39
9fe605df-6cd9-4ce4-a648-91421added72,subtle_skimming,"Subtle skimming applied to 10 transactions: Transaction 9fe605df-6cd9-4ce4-a648-91421added72: 1711.67 to 1694.55, Transaction 3497ab9e-b24f-4921-a165-fa361969a4b4: 7177.45 to 7105.68, Transaction 0ec1762e-688c-4b3a-8580-90bcd45fa33c: 4665.18 to 4618.53, Transaction 8908f96f-abd8-4be4-936f-3358b84596c1: 8600.00 to 8514.00, Transaction b696e0c0-e227-4812-8fbc-61cae2661d78: 2381.55 to 2357.73, Transaction 83c1b81d-1a73-4cb8-9019-4635d932001c: 1532.14 to 1516.82, Transaction e5e93d75-c9d7-42d4-bcdf-5383554d1569: 2149.58 to 2128.08, Transaction d0a3045e-f893-4e68-b06c-985be1e36760: 1640.79 to 1624.38, Transaction c807a099-d93a-43be-a8b8-6749e826d79d: 4161.98 to 4120.36, Transaction 361e6aa4-37c3-4373-b95a-49dc50325faf: 9265.65 to 9172.99"
81a1455d-d6e8-403d-b54f-68fe003ab745,round_number_bias,Amount rounded from 6047.84 to 6000.00
3e067a0a-2c76-4eb4-b187-afc345b493ee,mismatched_description,Description changed from 'Deposit - Office Supplies' to 'Withdrawal - Miscellaneous'
98a79a8f-b313-4474-97e2-1d44676b8b17,high_amount,Amount increased from 3535.27 to 52348.20
c15fc1ae-4c24-4391-8fab-324db3ab6f15,wrong_account,Account number changed from ACCT-2654 to WRONG-854
3c07ed6e-c532-4366-a84b-a4fdf85e6df3,seasonal_anomaly,No change (not in winter months)
e51176ff-b214-47c7-bbe1-456e753f7da1,subtle_skimming,"Subtle skimming applied to 10 transactions: Transaction e51176ff-b214-47c7-bbe1-456e753f7da1: 3704.59 to 3667.54, Transaction 05be2924-44af-40f9-af1e-ea25e2b73505: 9926.92 to 9827.65, Transaction 19288a33-0196-4d21-8f37-ff917f082114: 1579.38 to 1563.59, Transaction 3df1ecb9-f0ee-45dc-bf37-ed1fd09abee2: 1777.59 to 1759.81, Transaction ce027e01-cece-436f-b122-1088b8822570: 6500.35 to 6435.35, Transaction 49ef54d5-7a96-4675-86cf-69d47c05497b: 9281.25 to 9188.44, Transaction 43790d31-3b58-40c1-84ae-628975ca0649: 2210.66 to 2188.55, Transaction a154990c-7f99-44ab-ae1c-433128949f6f: 1071.47 to 1060.76, Transaction c50ca90b-35c0-43cf-873e-29cd2d0954fe: 5482.65 to 5427.82, Transaction 3d90bd29-3d26-4dfa-9f53-bccc605bd0b1: 9273.07 to 9180.34"
8ac380a3-b9ed-4fd1-9594-e5bf8e641c87,personal_expense,"Changed to personal expense: Vendor from 'ABC Office Supplies' to 'Gourmet Restaurant', Description from 'Deposit - Services' to 'Office Decor', Amount from 3662.11 to 2576.38"
f0f27924-5b10-4986-9711-b057ac923a1d,incorrect_date,Date changed from 2023-04-04 to future date 2024-01-10
aaa5fe70-7482-4f52-8d2f-3c8676445f62,subtle_skimming,"Subtle skimming applied to 10 transactions: Transaction aaa5fe70-7482-4f52-8d2f-3c8676445f62: 1105.01 to 1093.96, Transaction 05f64b00-2504-4614-9fef-d18fa3cf801c: 7255.47 to 7182.92, Transaction b1a3b046-60b4-41d1-9d06-23cf6074b2ba: 3269.18 to 3236.49, Transaction c8ce16ea-734f-4f78-9cb1-342f9f144036: 1946.52 to 1927.05, Transaction 09a148b0-c001-4be0-9c87-bb1ac9c3c111: 7188.69 to 7116.80, Transaction c15fc1ae-4c24-4391-8fab-324db3ab6f15: 1155.15 to 1143.60, Transaction 3523358a-ca30-4dae-a233-836e32098384: 5457.69 to 5403.11, Transaction 7001e7dc-777c-4196-a161-9a02700b4f14: 6255.44 to 6192.89, Transaction eb6a0834-30e5-4a29-be19-674fbb39ca4d: 2150.26 to 2128.76, Transaction 2b1f1e65-033e-41c0-9116-9810bdeea3b9: 9512.00 to 9416.88"
2131b6ac-5ac2-4622-94e1-4135f0f67379,subtle_skimming,"Subtle skimming applied to 10 transactions: Transaction 2131b6ac-5ac2-4622-94e1-4135f0f67379: 6446.88 to 6382.41, Transaction 74ced8b7-50b6-449c-8576-72c920ba8190: 6225.76 to 6163.50, Transaction 157873f0-0d4b-4992-a1a4-3716a3737a14: 8458.48 to 8373.90, Transaction b1ca4096-bf0b-4469-9e77-5e12fe3944a4: 7330.60 to 7257.29, Transaction 0b180b83-4489-4a80-8f4c-d0f1d7e89366: 3576.96 to 3541.19, Transaction 37a7c5d9-f046-4ec3-b2ca-754bd0628498: 8103.99 to 8022.95, Transaction 4bea5f35-ac33-4f45-b856-0fb48e5b9ee4: 2819.24 to 2791.05, Transaction 3ea7795a-02e0-4062-b898-b7a34d10d0bc: 9128.66 to 9037.37, Transaction 069d0c79-b504-48b4-bc44-e63cc19af52b: 7562.13 to 7486.51, Transaction e8530fc6-c46c-428c-a09b-83547ea371f2: 6554.82 to 6489.27"
ca75f61b-dc17-440d-a8d7-8ffd7f3a61d3,personal_expense,"Changed to personal expense: Vendor from '123 Cleaning Services' to 'Luxury Resort & Spa', Description from 'Withdrawal - Office Supplies' to 'Client Entertainment', Amount from 3248.19 to 1593.14"
540a1667-dd80-4c92-b8a4-e214e338b11b,round_number_bias,Amount rounded from 6823.64 to 6800.00
57d9f62b-52f9-4ecb-829f-86c398eb070c,mismatched_description,Description changed from 'Transfer - Office Supplies' to 'Transfer - Office Supplies'
7d08be8f-f382-4056-9f22-b0a0071f4dd8,seasonal_anomaly,No change (not in winter months)
283b113e-dde8-4150-95f0-d35ec2b49fd1,mismatched_description,Description changed from 'Deposit - Equipment' to 'Withdrawal - Miscellaneous'
079ccc06-0219-4fdb-89a5-47d8727792c4,double_spend,Transaction duplicated with new ID 7d96c87a-1511-4aca-8e66-2b503a87ccb5 and date changed from 2023-03-06 to 2023-03-06 00:04
3577599d-4b28-4eba-9f3a-13671272c027,high_amount,Amount increased from 1701.38 to 65614.94
bf8f78c6-1fbe-4d2a-ac20-fa014d917f54,benford_violation,Amount changed from 5862.01 to 6981.03 (violating Benford's Law)
f14cd380-199d-437d-9f6c-cf4b2b72a05b,subtle_skimming,"Subtle skimming applied to 10 transactions: Transaction f14cd380-199d-437d-9f6c-cf4b2b72a05b: 2555.59 to 2530.03, Transaction 8e6ac053-1691-413e-808f-f3cc093c808b: 1639.98 to 1623.58, Transaction b383d940-6b43-4910-8156-a966e30c88e3: 2873.15 to 2844.42, Transaction 970a02a6-c861-40b4-8e32-17b7cbee3eab: 8661.56 to 8574.94, Transaction 4b900c12-6799-4541-9b0e-06b8c38cbf67: 1298.90 to 1285.91, Transaction eb0a21f0-0246-49dd-91a7-229f6d5e72c1: 71857.26 to 71138.69, Transaction d417743b-5541-4567-9cc8-fcf5ebabd422: 6409.32 to 6345.23, Transaction 8ea7f344-e00f-4e77-b811-08c6849d279f: 3155.86 to 3124.30, Transaction a026341a-4326-41b5-9c43-9aaa71bd13c2: 3773.73 to 3735.99, Transaction 85316d4d-d947-43ba-a089-2f4c99c290a2: 1960.10 to 1940.50"
e96c33e8-63dd-40d1-9b78-19e6371eddf2,mismatched_description,Description changed from 'Office Rent' to 'Office Rent'
88c31fc7-7f62-46b3-be0a-c07b013bfcf1,wrong_account,Account number changed from ACCT-8678 to WRONG-184
2c35dfc8-afc7-4e40-ba4d-7e744e310ffa,seasonal_anomaly,No change (not in winter months)
